NombreSaga,CantidadLibros,NombreLibro
Throne of Glass,8,The Assassin's Blade
Throne of Glass,8,Throne of Glass
Throne of Glass,8,Crown of Midnight
Throne of Glass,8,Heir of Fire
Throne of Glass,8,Queen of Shadows
Throne of Glass,8,Empire of Storms
Throne of Glass,8,Tower of Dawn
Throne of Glass,8,Kingdom of Ash
A Court of Thorns and Roses,5,A Court of Thorns and Roses
A Court of Thorns and Roses,5,A Court of Mist and Fury
A Court of Thorns and Roses,5,A Court of Wings and Ruin
A Court of Thorns and Roses,5,A Court of Frost and Starlight
A Court of Thorns and Roses,5,A Court of Silver Flames
Crescent City,3,House of Earth and Blood
Crescent City,3,House of Sky and Breath
Crescent City,3,House of Flame and Shadow
