NombreProvincia;CantidadMunicipios;Municipio
Alicante/Alacant;141;Agost
Alicante/Alacant;141;Agres
Alicante/Alacant;141;Aigües
Alicante/Alacant;141;Albatera
Alicante/Alacant;141;Alcalalí
Alicante/Alacant;141;Alcocer de Planes
Alicante/Alacant;141;Alcoleja
Alicante/Alacant;141;Alcoy/Alcoi
Alicante/Alacant;141;Alfafara
Alicante/Alacant;141;Alfàs del Pi, l'
Alicante/Alacant;141;Algorfa
Alicante/Alacant;141;Algueña
Alicante/Alacant;141;Alicante/Alacant
Alicante/Alacant;141;Almoradí
Alicante/Alacant;141;Almudaina
Alicante/Alacant;141;Alqueria d'Asnar, l'
Alicante/Alacant;141;Altea
Alicante/Alacant;141;Aspe
Alicante/Alacant;141;Atzúbia, l'
Alicante/Alacant;141;Balones
Alicante/Alacant;141;Banyeres de Mariola
Alicante/Alacant;141;Benasau
Alicante/Alacant;141;Beneixama
Alicante/Alacant;141;Benejúzar
Alicante/Alacant;141;Benferri
Alicante/Alacant;141;Beniarbeig
Alicante/Alacant;141;Beniardá
Alicante/Alacant;141;Beniarrés
Alicante/Alacant;141;Benidoleig
Alicante/Alacant;141;Benidorm
Alicante/Alacant;141;Benifallim
Alicante/Alacant;141;Benifato
Alicante/Alacant;141;Benigembla
Alicante/Alacant;141;Benijófar
Alicante/Alacant;141;Benilloba
Alicante/Alacant;141;Benillup
Alicante/Alacant;141;Benimantell
Alicante/Alacant;141;Benimarfull
Alicante/Alacant;141;Benimassot
Alicante/Alacant;141;Benimeli
Alicante/Alacant;141;Benissa
Alicante/Alacant;141;Benitachell/Poble Nou de Benitatxell, el
Alicante/Alacant;141;Biar
Alicante/Alacant;141;Bigastro
Alicante/Alacant;141;Bolulla
Alicante/Alacant;141;Busot
Alicante/Alacant;141;Callosa de Segura
Alicante/Alacant;141;Callosa d'en Sarrià
Alicante/Alacant;141;Calp
Alicante/Alacant;141;Campello, el
Alicante/Alacant;141;Campo de Mirra/Camp de Mirra, el
Alicante/Alacant;141;Cañada
Alicante/Alacant;141;Castalla
Alicante/Alacant;141;Castell de Castells
Alicante/Alacant;141;Castell de Guadalest, el
Alicante/Alacant;141;Catral
Alicante/Alacant;141;Cocentaina
Alicante/Alacant;141;Confrides
Alicante/Alacant;141;Cox
Alicante/Alacant;141;Crevillent
Alicante/Alacant;141;Daya Nueva
Alicante/Alacant;141;Daya Vieja
Alicante/Alacant;141;Dénia
Alicante/Alacant;141;Dolores
Alicante/Alacant;141;Elche/Elx
Alicante/Alacant;141;Elda
Alicante/Alacant;141;Facheca
Alicante/Alacant;141;Famorca
Alicante/Alacant;141;Finestrat
Alicante/Alacant;141;Fondó de les Neus, el/Hondón de las Nieves
Alicante/Alacant;141;Formentera del Segura
Alicante/Alacant;141;Gaianes
Alicante/Alacant;141;Gata de Gorgos
Alicante/Alacant;141;Gorga
Alicante/Alacant;141;Granja de Rocamora
Alicante/Alacant;141;Guardamar del Segura
Alicante/Alacant;141;Hondón de los Frailes
Alicante/Alacant;141;Ibi
Alicante/Alacant;141;Jacarilla
Alicante/Alacant;141;Jávea/Xàbia
Alicante/Alacant;141;Jijona/Xixona
Alicante/Alacant;141;Llíber
Alicante/Alacant;141;Lorcha/Orxa, l'
Alicante/Alacant;141;Millena
Alicante/Alacant;141;Monforte del Cid
Alicante/Alacant;141;Monóvar/Monòver
Alicante/Alacant;141;Montesinos, Los
Alicante/Alacant;141;Murla
Alicante/Alacant;141;Muro de Alcoy
Alicante/Alacant;141;Mutxamel
Alicante/Alacant;141;Novelda
Alicante/Alacant;141;Nucia, la
Alicante/Alacant;141;Ondara
Alicante/Alacant;141;Onil
Alicante/Alacant;141;Orba
Alicante/Alacant;141;Orihuela
Alicante/Alacant;141;Orxeta
Alicante/Alacant;141;Parcent
Alicante/Alacant;141;Pedreguer
Alicante/Alacant;141;Pego
Alicante/Alacant;141;Penàguila
Alicante/Alacant;141;Petrer
Alicante/Alacant;141;Pilar de la Horadada
Alicante/Alacant;141;Pinós, el/Pinoso
Alicante/Alacant;141;Planes
Alicante/Alacant;141;Poblets, els
Alicante/Alacant;141;Polop
Alicante/Alacant;141;Quatretondeta
Alicante/Alacant;141;Rafal
Alicante/Alacant;141;Ràfol d'Almúnia, el
Alicante/Alacant;141;Redován
Alicante/Alacant;141;Relleu
Alicante/Alacant;141;Rojales
Alicante/Alacant;141;Romana, la
Alicante/Alacant;141;Sagra
Alicante/Alacant;141;Salinas
Alicante/Alacant;141;San Fulgencio
Alicante/Alacant;141;San Isidro
Alicante/Alacant;141;San Miguel de Salinas
Alicante/Alacant;141;San Vicente del Raspeig/Sant Vicent del Raspeig
Alicante/Alacant;141;Sanet y Negrals
Alicante/Alacant;141;Sant Joan d'Alacant
Alicante/Alacant;141;Santa Pola
Alicante/Alacant;141;Sax
Alicante/Alacant;141;Sella
Alicante/Alacant;141;Senija
Alicante/Alacant;141;Tàrbena
Alicante/Alacant;141;Teulada
Alicante/Alacant;141;Tibi
Alicante/Alacant;141;Tollos
Alicante/Alacant;141;Tormos
Alicante/Alacant;141;Torremanzanas/Torre de les Maçanes, la
Alicante/Alacant;141;Torrevieja
Alicante/Alacant;141;Vall d'Alcalà, la
Alicante/Alacant;141;Vall de Gallinera
Alicante/Alacant;141;Vall de Laguar, la
Alicante/Alacant;141;Vall d'Ebo, la
Alicante/Alacant;141;Verger, el
Alicante/Alacant;141;Villajoyosa/Vila Joiosa, la
Alicante/Alacant;141;Villena
Alicante/Alacant;141;Xaló
Castellón/Castelló;135;Aín
Castellón/Castelló;135;Albocàsser
Castellón/Castelló;135;Alcalà de Xivert
Castellón/Castelló;135;Alcora, l'
Castellón/Castelló;135;Alcudia de Veo
Castellón/Castelló;135;Alfondeguilla
Castellón/Castelló;135;Algimia de Almonacid
Castellón/Castelló;135;Almassora
Castellón/Castelló;135;Almedíjar
Castellón/Castelló;135;Almenara
Castellón/Castelló;135;Alqueries, les/Alquerías del Niño Perdido
Castellón/Castelló;135;Altura
Castellón/Castelló;135;Arañuel
Castellón/Castelló;135;Ares del Maestrat
Castellón/Castelló;135;Argelita
Castellón/Castelló;135;Artana
Castellón/Castelló;135;Atzeneta del Maestrat
Castellón/Castelló;135;Ayódar
Castellón/Castelló;135;Azuébar
Castellón/Castelló;135;Barracas
Castellón/Castelló;135;Bejís
Castellón/Castelló;135;Benafer
Castellón/Castelló;135;Benafigos
Castellón/Castelló;135;Benassal
Castellón/Castelló;135;Benicarló
Castellón/Castelló;135;Benicasim/Benicàssim
Castellón/Castelló;135;Benlloc
Castellón/Castelló;135;Betxí
Castellón/Castelló;135;Borriana/Burriana
Castellón/Castelló;135;Borriol
Castellón/Castelló;135;Cabanes
Castellón/Castelló;135;Càlig
Castellón/Castelló;135;Canet lo Roig
Castellón/Castelló;135;Castell de Cabres
Castellón/Castelló;135;Castellfort
Castellón/Castelló;135;Castellnovo
Castellón/Castelló;135;Castellón de la Plana/Castelló de la Plana
Castellón/Castelló;135;Castillo de Villamalefa
Castellón/Castelló;135;Catí
Castellón/Castelló;135;Caudiel
Castellón/Castelló;135;Cervera del Maestre
Castellón/Castelló;135;Chilches/Xilxes
Castellón/Castelló;135;Chodos/Xodos
Castellón/Castelló;135;Chóvar
Castellón/Castelló;135;Cinctorres
Castellón/Castelló;135;Cirat
Castellón/Castelló;135;Cortes de Arenoso
Castellón/Castelló;135;Costur
Castellón/Castelló;135;Coves de Vinromà, les
Castellón/Castelló;135;Culla
Castellón/Castelló;135;Eslida
Castellón/Castelló;135;Espadilla
Castellón/Castelló;135;Fanzara
Castellón/Castelló;135;Figueroles
Castellón/Castelló;135;Forcall
Castellón/Castelló;135;Fuente la Reina
Castellón/Castelló;135;Fuentes de Ayódar
Castellón/Castelló;135;Gaibiel
Castellón/Castelló;135;Geldo
Castellón/Castelló;135;Herbés
Castellón/Castelló;135;Higueras
Castellón/Castelló;135;Jana, la
Castellón/Castelló;135;Jérica
Castellón/Castelló;135;Llosa, la
Castellón/Castelló;135;Llucena/Lucena del Cid
Castellón/Castelló;135;Ludiente
Castellón/Castelló;135;Mata de Morella, la
Castellón/Castelló;135;Matet
Castellón/Castelló;135;Moncofa
Castellón/Castelló;135;Montán
Castellón/Castelló;135;Montanejos
Castellón/Castelló;135;Morella
Castellón/Castelló;135;Navajas
Castellón/Castelló;135;Nules
Castellón/Castelló;135;Olocau del Rey
Castellón/Castelló;135;Onda
Castellón/Castelló;135;Oropesa del Mar/Orpesa
Castellón/Castelló;135;Palanques
Castellón/Castelló;135;Pavías
Castellón/Castelló;135;Peníscola/Peñíscola
Castellón/Castelló;135;Pina de Montalgrao
Castellón/Castelló;135;Pobla de Benifassà, la
Castellón/Castelló;135;Pobla Tornesa, la
Castellón/Castelló;135;Portell de Morella
Castellón/Castelló;135;Puebla de Arenoso
Castellón/Castelló;135;Ribesalbes
Castellón/Castelló;135;Rossell
Castellón/Castelló;135;Sacañet
Castellón/Castelló;135;Salzadella, la
Castellón/Castelló;135;San Rafael del Río
Castellón/Castelló;135;Sant Joan de Moró
Castellón/Castelló;135;Sant Jordi/San Jorge
Castellón/Castelló;135;Sant Mateu
Castellón/Castelló;135;Santa Magdalena de Pulpis
Castellón/Castelló;135;Segorbe
Castellón/Castelló;135;Serratella, la
Castellón/Castelló;135;Sierra Engarcerán
Castellón/Castelló;135;Soneja
Castellón/Castelló;135;Sot de Ferrer
Castellón/Castelló;135;Sueras/Suera
Castellón/Castelló;135;Tales
Castellón/Castelló;135;Teresa
Castellón/Castelló;135;Tírig
Castellón/Castelló;135;Todolella
Castellón/Castelló;135;Toga
Castellón/Castelló;135;Torás
Castellón/Castelló;135;Toro, El
Castellón/Castelló;135;Torralba del Pinar
Castellón/Castelló;135;Torre d'En Besora, la
Castellón/Castelló;135;Torre d'en Doménec, la
Castellón/Castelló;135;Torreblanca
Castellón/Castelló;135;Torrechiva
Castellón/Castelló;135;Traiguera
Castellón/Castelló;135;Useras/Useres, les
Castellón/Castelló;135;Vall d'Alba
Castellón/Castelló;135;Vall de Almonacid
Castellón/Castelló;135;Vall d'Uixó, la
Castellón/Castelló;135;Vallat
Castellón/Castelló;135;Vallibona
Castellón/Castelló;135;Vilafamés
Castellón/Castelló;135;Vilafranca/Villafranca del Cid
Castellón/Castelló;135;Vilanova d'Alcolea
Castellón/Castelló;135;Vilar de Canes
Castellón/Castelló;135;Vila-real
Castellón/Castelló;135;Vilavella, la
Castellón/Castelló;135;Villahermosa del Río
Castellón/Castelló;135;Villamalur
Castellón/Castelló;135;Villanueva de Viver
Castellón/Castelló;135;Villores
Castellón/Castelló;135;Vinaròs
