nombreSaga,cantidadLibros,nombreLibro
El Archivo de las Tormentas,5,El Camino de los Reyes
El Archivo de las Tormentas,5,Palabras Radiantes
El Archivo de las Tormentas,5,Juramentada
El Archivo de las Tormentas,5,El Ritmo de la Guerra
El Archivo de las Tormentas,5,Wind and Truth
Nacidos de la Bruma - Era 1,3,El Imperio Final
Nacidos de la Bruma - Era 1,3,El Pozo de la Ascensión
Nacidos de la Bruma - Era 1,3,El Héroe de las Eras
Nacidos de la Bruma - Era 2,4,Aleación de Ley
Nacidos de la Bruma - Era 2,4,Sombras de Identidad
Nacidos de la Bruma - Era 2,4,Brazales de Duelo
Nacidos de la Bruma - Era 2,4,El Metal Perdido
Elantris,2,Elantris
Elantris,2,El Alma del Emperador
Warbreaker,1,El Aliento de los Dioses
Secret Projects (Cosmere),3,Tress of the Emerald Sea
Secret Projects (Cosmere),3,Yumi and the Nightmare Painter
Secret Projects (Cosmere),3,The Sunlit Man
Skyward (Cytoverse),4,Skyward
Skyward (Cytoverse),4,Starsight
Skyward (Cytoverse),4,Cytonic
Skyward (Cytoverse),4,Defiant
The Reckoners,3,Steelheart
The Reckoners,3,Firefight
The Reckoners,3,Calamity
Alcatraz vs. los Bibliotecarios Malvados,6,Alcatraz Versus the Evil Librarians
Alcatraz vs. los Bibliotecarios Malvados,6,The Scrivener’s Bones
Alcatraz vs. los Bibliotecarios Malvados,6,The Knights of Crystallia
Alcatraz vs. los Bibliotecarios Malvados,6,The Shattered Lens
Alcatraz vs. los Bibliotecarios Malvados,6,The Dark Talent
Alcatraz vs. los Bibliotecarios Malvados,6,Bastille vs. the Evil Librarians
Legion,3,Legion
Legion,3,Skin Deep
Legion,3,Lies of the Beholder
Rithmatist,1,El Rithmatista
Secret Projects (No Cosmere),1,The Frugal Wizard’s Handbook for Surviving Medieval England
